x,y,z
-26.680159,3.799840,30.003743
-26.659839,3.276600,30.003743
-26.553159,2.875280,30.003743
-26.558239,2.270760,30.003743
-26.548079,1.681480,30.003743
-26.593799,1.168400,30.003743
-26.532839,0.665480,30.003743
-26.512519,0.121920,30.003743
-26.461719,-0.411480,30.003743
-26.629359,-0.904240,30.003743
-26.405839,-1.478280,30.003743
-26.593799,-1.996440,30.003743
-26.431239,-2.438400,30.003743
-26.507439,-3.017520,30.003743
-26.497279,-3.479800,30.003743
-26.598879,-4.023360,30.003743
-26.512519,-4.450080,30.003743
-26.532839,-5.039360,30.003743
-26.583639,-5.603240,30.003743
-26.492199,-6.101080,30.003743
-26.517599,-6.659880,30.003743
-26.568399,-7.152640,30.003743
-26.375359,-7.680960,30.003743
-26.487119,-8.255000,30.003743
-26.492199,-8.691880,30.003743
-26.360119,-9.159240,30.003743
-26.451559,-9.662160,30.003743
-26.395679,-10.175240,30.003743
-26.588719,-10.673080,30.003743
-26.385519,-11.115040,30.003743
-26.405839,-11.653520,30.003743
-26.431239,-12.181840,30.003743
-26.355039,-12.725400,30.003743
-26.410919,-13.131800,30.003743
-26.309319,-13.517880,30.003743
-26.314399,-14.107160,30.003743
-26.441399,-14.650720,30.003743
-26.344879,-15.118080,30.003743
-26.405839,-15.519400,30.003743
-26.380439,-15.966439,30.003743
-26.385519,-16.388079,30.003743
-26.405839,-16.819879,30.003743
-26.400759,-17.277079,30.003743
-26.395679,-17.693639,30.003743
-26.304239,-18.094959,30.003743
-26.385519,-18.668999,30.003743
-26.395679,-19.075399,30.003743
-26.339799,-19.552919,30.003743
-26.446479,-20.040599,30.003743
-26.400759,-20.568919,30.003743
-26.578559,-21.127719,30.003743
-26.517599,-21.534119,30.003743
-26.426159,-21.981159,30.003743
-26.553159,-22.443439,30.003743
-26.492199,-22.910799,30.003743
-26.497279,-23.337519,30.003743
-26.568399,-23.759159,30.003743
-26.527759,-24.201119,30.003743
-26.553159,-24.714199,30.003743
-26.507439,-25.227279,30.003743
-26.700479,-25.725119,30.003743
-26.578559,-26.167079,30.003743
-26.568399,-26.598879,30.003743
-26.588719,-27.162759,30.003743
-26.751279,-27.802839,30.003743
-26.624279,-28.305759,30.003743
-26.441399,-28.828999,30.003743
-26.177239,-29.357319,30.003743
-25.725119,-29.789119,30.003743
-25.323799,-29.966919,30.003743
-24.902159,-30.175199,30.003743
-24.399239,-30.419039,30.003743
-23.936959,-30.454599,30.003743
-23.474679,-30.505399,30.003743
-23.032719,-30.612079,30.003743
-22.499319,-30.891479,30.003743
-22.031959,-30.825439,30.003743
-21.579839,-30.911799,30.003743
-21.153119,-30.957519,30.003743
-20.700999,-30.932119,30.003743
-20.279359,-30.977839,30.003743
-19.832319,-31.130239,30.003743
-19.370039,-30.962599,30.003743
-18.811239,-31.104839,30.003743
-18.404839,-31.033719,30.003743
-17.962879,-30.977839,30.003743
-17.490439,-31.033719,30.003743
-16.992599,-30.977839,30.003743
-16.509999,-31.170879,30.003743
-16.118839,-31.079439,30.003743
-15.702279,-31.150559,30.003743
-15.306040,-31.114999,30.003743
-14.864080,-31.170879,30.003743
-14.239240,-31.211519,30.003743
-13.797280,-31.201359,30.003743
-13.375640,-31.277559,30.003743
-12.933680,-31.272479,30.003743
-12.512040,-31.363919,30.003743
-11.963400,-31.582359,30.003743
-11.541760,-31.648399,30.003743
-11.104880,-31.673799,30.003743
-10.693400,-31.836359,30.003743
-10.124440,-31.851599,30.003743
-9.733280,-32.039559,30.003743
-9.235440,-32.130999,30.003743
-8.747760,-32.141159,30.003743
-8.260080,-32.425639,30.003743
-7.767320,-32.471359,30.003743
-7.320280,-32.765999,30.003743
-6.827520,-32.832039,30.003743
-6.334760,-33.060639,30.003743
-5.918200,-33.167319,30.003743
-5.435600,-33.294319,30.003743
-4.876800,-33.497519,30.003743
-4.490720,-33.944559,30.003743
-4.079240,-34.061399,30.003743
-3.688080,-34.157919,30.003743
-3.317240,-34.386519,30.003743
-2.824480,-34.711639,30.003743
-2.423160,-34.970719,30.003743
-1.986280,-35.270439,30.003743
-1.447800,-35.173919,30.003743
-1.076960,-35.458399,30.003743
-0.726440,-35.702239,30.003743
-0.365760,-35.880039,30.003743
0.162560,-36.113719,30.003743
0.558800,-36.530279,30.003743
1.061720,-36.682679,30.003743
1.544320,-36.962079,30.003743
2.016760,-36.941759,30.003743
2.606040,-37.099239,30.003743
3.058160,-37.119559,30.003743
3.550920,-37.175439,30.003743
4.099560,-37.266879,30.003743
4.500880,-37.038279,30.003743
4.942840,-37.038279,30.003743
5.486400,-36.860479,30.003743
6.090920,-36.936679,30.003743
6.482080,-36.809679,30.003743
6.858000,-36.621719,30.003743
7.320280,-36.504879,30.003743
7.858760,-36.220399,30.003743
8.463280,-36.235639,30.003743
